source,target,weight,abs_weight,Source_names,Target_names
MD1 (OG0001880::H2_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,MD1 (OG0001880::H2_transcript),BGAL1 (OG0000198::H2_transcript)
TFIIB2 (OG0001924::H1_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,TFIIB2 (OG0001924::H1_transcript),BGAL1 (OG0000198::H2_transcript)
RFS1 (OG0002029::H1_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,RFS1 (OG0002029::H1_transcript),BGAL1 (OG0000198::H2_transcript)
RBCS (OG0002035::H1_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,RBCS (OG0002035::H1_transcript),BGAL1 (OG0000198::H2_transcript)
GDCST (OG0003754::H2_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,GDCST (OG0003754::H2_transcript),BGAL1 (OG0000198::H2_transcript)
WAXY (OG0003871::H1_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,WAXY (OG0003871::H1_transcript),BGAL1 (OG0000198::H2_transcript)
CTIMC (OG0003945::H1_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,CTIMC (OG0003945::H1_transcript),BGAL1 (OG0000198::H2_transcript)
DJ1D (OG0007013::H2_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,DJ1D (OG0007013::H2_transcript),BGAL1 (OG0000198::H2_transcript)
NA,BGAL1 (OG0000198::H2_transcript),1.0,1.0,NA,BGAL1 (OG0000198::H2_transcript)
NA,BGAL1 (OG0000198::H2_transcript),1.0,1.0,NA,BGAL1 (OG0000198::H2_transcript)
BAM1 (OG0004988::H1_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,BAM1 (OG0004988::H1_transcript),BGAL1 (OG0000198::H2_transcript)
PIF1 (OG0006099::H2_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,PIF1 (OG0006099::H2_transcript),BGAL1 (OG0000198::H2_transcript)
GWD3 (OG0007193::H1_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,GWD3 (OG0007193::H1_transcript),BGAL1 (OG0000198::H2_transcript)
SS2 (OG0008186::H2_transcript),BGAL1 (OG0000198::H2_transcript),1.0,1.0,SS2 (OG0008186::H2_transcript),BGAL1 (OG0000198::H2_transcript)
GAPC (OG0000484::H2_protein),BGAL1 (OG0000198::H2_transcript),1.0,1.0,GAPC (OG0000484::H2_protein),BGAL1 (OG0000198::H2_transcript)
IPMS2 (OG0002400::H1_protein),BGAL1 (OG0000198::H2_transcript),1.0,1.0,IPMS2 (OG0002400::H1_protein),BGAL1 (OG0000198::H2_transcript)
PCK1 (OG0002610::H1_protein),BGAL1 (OG0000198::H2_transcript),1.0,1.0,PCK1 (OG0002610::H1_protein),BGAL1 (OG0000198::H2_transcript)
KAT1 (OG0002639::H2_protein),BGAL1 (OG0000198::H2_transcript),1.0,1.0,KAT1 (OG0002639::H2_protein),BGAL1 (OG0000198::H2_transcript)
At3g47520 (OG0004070::H2_protein),BGAL1 (OG0000198::H2_transcript),1.0,1.0,At3g47520 (OG0004070::H2_protein),BGAL1 (OG0000198::H2_transcript)
NA,BGAL1 (OG0000198::H2_transcript),1.0,1.0,NA,BGAL1 (OG0000198::H2_transcript)
PCK1 (OG0002610::H2_protein),BGAL1 (OG0000198::H2_transcript),1.0,1.0,PCK1 (OG0002610::H2_protein),BGAL1 (OG0000198::H2_transcript)
NA,BGAL1 (OG0000198::H2_transcript),1.0,1.0,NA,BGAL1 (OG0000198::H2_transcript)
NA,BGAL1 (OG0000198::H2_transcript),1.0,1.0,NA,BGAL1 (OG0000198::H2_transcript)
Asparagine,BGAL1 (OG0000198::H2_transcript),1.0,1.0,Asparagine,BGAL1 (OG0000198::H2_transcript)
Putresceine,BGAL1 (OG0000198::H2_transcript),1.0,1.0,Putresceine,BGAL1 (OG0000198::H2_transcript)
Succinate,BGAL1 (OG0000198::H2_transcript),1.0,1.0,Succinate,BGAL1 (OG0000198::H2_transcript)
MD1 (OG0001880::H2_transcript),ACO1 (OG0001386::H2_transcript),1.0,1.0,MD1 (OG0001880::H2_transcript),ACO1 (OG0001386::H2_transcript)
TFIIB2 (OG0001924::H1_transcript),ACO1 (OG0001386::H2_transcript),1.0,1.0,TFIIB2 (OG0001924::H1_transcript),ACO1 (OG0001386::H2_transcript)
