G_H2O,CO2
1.3454485,-0.3724
-0.7765146,-0.3394
5.625252,5.69
0.38944065,0.81755
1.267722,-0.5042
-0.0067,-0.4138
5.930145,5.4956
-0.0838867,0.5029
1.4143985,-0.4017
1.862351,-0.13965
5.333417,4.64925
0.1798335,0.27595
1.400857,-0.8089
1.942036,0.42255
6.001774,5.22925
-0.7535482,0.0209
1.467758,-0.64195
0.73749335,0.5703
5.2177095,5.3212
-0.1259086,0.2409
1.599901,-0.5403
0.2664156,0.7813
4.8822725,4.60525
-0.1468547,-0.10595
1.2834275,-0.5783
-0.7962462,0.8809
5.3381375,5.0377
-0.49062245,-0.1925
1.538228,-0.4637
-2.822923,0.29875
4.908256,4.4444
-0.36612155,-0.08975
1.1207315,-0.70575
11.15269,4.8157
4.740828,4.31885
-0.08976105,-0.1484
0.9587276,-0.63685
3.8306115,2.85625
5.194379,4.8455
0.16930725,-0.1303
1.8080345,-0.6683
3.403927,2.614
4.30712,4.1314
-0.30062575,-0.0315
0.9664877,-0.49415
4.436426,3.70675
4.7925915,4.7866
0.74842065,-0.28415
-0.5548959,0.5303
