TIME,Epi-catechin,5-trans-Caffeoylquinic_acid,Aconitic_acid,Benzoic_acid,Citramalic_acid,Glyceric_acid,Isocitric_acid,Isoquercitrin,Maleic_acid,Malic_acid_1-methylester,Urea,2-Oxoglutaric_acid,Alanine,Arginine,Asparagine,Aspartic_acid,Citric_acid,Fructose,Fumaric_acid,Galactinol,Galactose,Gluconic_acid,Glucose,Glutamic_acid,Glutamine,Glycine,Isoleucine,Itaconic_acid,Lactic_acid,Leucine,Lysine,Malic_acid,Maltose,Mellibiose,myo-Inositol,Phenylalanine,Proline,Putresceine,Pyruvic_acid,Raffinose,Serine,Spermidine,Succinic_acid,Sucrose,Threitol,Threonic_acid,Threonine,Trehalose,Tryptophan,Tyrosine,Valine
4,0.170248681,0.1537033,0.250127992,0.049509264,0.002529844,0.763397895,5.294432984,1.20748201,0.701605324,0.003607212,0.000667461,0.01108343,0.257758454,0.000306439,0.000861843,0.452720106,47.49413074,43.96468265,0.211599734,1.253372157,0.115617909,0.552298332,8.118075384,0.237070894,2.985985522,0.01857573,0.010240253,0.015690367,0.190002353,0.065337852,0.035321958,11.47181482,0.364350102,1.099157963,5.160472395,0.005967717,0.010595359,0.112671056,0.003104244,0.206844012,0.050401934,0.005939774,0.265302729,33.9740281,0.003246817,0.09269247,0.008867277,0.066898993,0.033612517,0.026069414,0.018158852
4,1.269248519,1.270375782,1.019944582,0.117818041,0.005733674,2.940011931,28.95910886,5.259908714,0.832435903,0.005827107,0.002886373,0.045476565,0.811428384,0.001955868,0.007133653,2.142464284,272.3171683,97.57230218,0.288347366,2.830707373,0.250546893,1.507892017,22.34847832,1.657095875,3.631721186,0.10242568,0.074531185,0.04145618,0.735973124,0.166638647,0.350515253,30.23641874,1.706198401,3.779955,20.76198523,0.060223727,0.059814284,0.2005413,0.014968928,0.923073391,0.221829635,0.006410999,0.777454632,134.4787966,0.025947708,0.321092323,0.044944802,0.274256201,0.07132949,0.151027735,0.14005973
4,0.720007922,0.501166142,0.903719533,0.05302296,0.009717651,2.752233584,26.66168282,2.251916973,0.883716999,0.004452818,0.003151518,0.058389677,1.086574545,0.001415167,0.002516092,1.320263536,286.8320546,66.47911742,0.368148905,2.460492616,0.406792813,1.393227422,12.47151686,0.422200315,3.146308156,0.210161015,0.050085471,0.002112453,1.456055934,0.232928983,0.176422252,27.20473535,3.999440773,4.266801346,16.33684246,0.04477385,0.03684904,0.2835522,0.016464603,0.220606958,0.222471159,0.030573642,0.619654539,145.229349,0.040087269,0.284909357,0.03833724,0.230463326,0.077115635,0.079206455,0.06004266
8,0.554337491,0.412979333,0.694224424,0.185734559,0.00829988,1.923408548,16.70928171,4.277274808,2.11775041,0.00731531,0.000708541,0.059290721,0.073487307,0.000634267,0.001547141,0.163191641,155.9137033,144.5711615,0.916163474,2.725608464,0.306674407,1.118399532,26.95720471,0.460689721,3.666541031,0.103160865,0.013348793,0.083628094,0.850968518,0.225372534,0.079056581,35.12954819,0.862860678,2.359458709,17.36004013,0.017278347,0.101129891,0.345655082,0.038231081,0.359043548,0.029779225,0.014314551,0.771718745,105.3310862,0.019801211,0.165132716,0.027248346,0.159869547,0.074378183,0.075133378,0.031680505
8,0.597553185,0.549015146,0.532711406,0.159833762,0.004363562,2.939952383,27.06038103,3.908041533,0.58382684,0.004113086,0.003899096,0.046970069,0.345923182,0.00121631,0.002632056,0.829506723,224.3342749,41.10875064,0.240482846,0.58242113,1.40764654,0.663137118,6.718882559,0.824938896,3.911196304,0.158332868,0.021681451,0.018276135,1.617141607,0.050035244,0.074398447,33.31239805,0.69000957,1.797894424,10.20039956,0.017997759,0.015497649,0.103160975,0.038706825,0.449989432,0.08724683,0.020171729,0.602263063,117.3500493,0.015268106,0.260656403,0.025879547,0.1397687,0.037174203,0.059703164,0.042246535
8,0.899979352,0.512242417,0.456047645,0.085250921,0.007953787,2.463534074,10.95058852,3.154087911,0.407055622,0.004606649,0.003411175,0.087372461,0.349785018,0.004009101,0.004599576,1.362623009,325.8393602,120.8135711,0.199690516,3.425939031,3.945863427,1.458701971,18.79325792,0.852766426,3.836863082,0.102753787,0.016720661,0.02270419,0.909016424,0.019463968,0.192522059,36.44187398,2.307998616,4.554253578,16.14174655,0.020801662,0.01457345,0.349397294,0.031051037,2.312342867,0.051576755,0.027800491,0.796766258,161.5741977,0.014115595,0.267255775,0.020511571,0.386165957,0.084759722,0.096218433,0.025183141
13,0.850928199,0.617144343,0.760564654,0.127079681,0.01008413,2.549708355,25.64662074,4.326847086,2.40282078,0.012293156,0.002476768,0.11974658,1.848697327,0.001389193,0.004132522,0.388940386,208.9857072,169.889681,0.560611875,5.561663703,0.307830954,1.683135341,31.04567744,1.784915084,3.878043238,0.329920694,0.111830784,0.050701803,0.708894842,0.228318528,0.029682809,55.04440555,1.836539923,4.715644855,19.26958817,0.06099281,0.123604718,0.386666756,0.027370111,1.103869425,0.251692091,0.023274861,1.759446967,155.6501784,0.031162291,0.339453596,0.050862108,0.266235875,0.247079907,0.15351502,0.196016555
13,1.229504379,1.44980103,1.315428779,0.24654728,0.008986549,4.723164994,46.59980898,8.250353949,1.525876388,0.007484987,0.003759324,0.097648397,0.820019097,0.00182148,0.005148628,1.453216846,388.7172551,335.5787805,0.685809077,3.152711353,1.868252282,1.31730565,78.27030222,2.559612497,3.737845318,0.351738025,0.152927168,0.122047114,1.552236211,0.28995066,0.239289382,50.87179541,1.311759984,4.101047848,22.97781991,0.093327123,0.077186615,0.151348486,0.036646624,0.705468737,0.131610282,0.007950114,1.355377319,219.1667286,0.03776724,0.645419986,0.049220744,0.301961133,0.101518119,0.173118456,0.229597317
13,0.975846011,0.595062663,1.213908587,0.163494481,0.0106572,3.653757721,23.67319768,5.624447403,0.938075078,0.002686672,0.002713871,0.100359462,1.33850202,0.001401528,0.002924894,0.777725199,271.6368228,84.31716611,0.383225656,7.373438731,0.388747196,1.274682617,19.50736504,0.99970572,3.164185072,0.490770353,0.181648784,0.05827019,1.688359827,0.336324444,0.233202294,23.71622989,2.211888777,6.799815237,15.92998254,0.115362201,0.116938888,0.208241459,0.034071479,0.474672909,0.427509897,0.024758886,1.108347341,142.3011627,0.021602107,0.261380708,0.060477637,0.287728674,0.1018941,0.13437068,0.253883907
19,0.211304445,0.152445061,0.333176918,0.02577008,0.002049824,0.925215484,5.388910709,1.170931655,1.301114088,0.003323003,0.000386873,0.009987317,0.152967696,0.000340268,0.000439426,0.271433646,49.76645404,41.90606244,0.902848244,1.420978906,0.093631015,0.392972501,8.311900139,0.262365879,3.116905326,0.039044814,0.004762423,0.022649454,0.215671745,0.035979899,0.022641537,10.52968495,0.35040159,0.838579814,5.615243554,0.003351794,0.059997928,0.091855961,0.002255765,0.117142052,0.030145048,0.00449076,0.344729494,36.51183924,0.004598941,0.070177762,0.003188566,0.061039509,0.094629882,0.024855461,0.006399175
