TIME,Epi-catechin,5-trans-Caffeoylquinic_acid,Aconitic_acid,Benzoic_acid,Citramalic_acid,Glyceric_acid,Isocitric_acid,Isoquercitrin,Maleic_acid,Malic_acid_1-methylester,Urea,2-Oxoglutaric_acid,Alanine,Arginine,Asparagine,Aspartic_acid,Citric_acid,Fructose,Fumaric_acid,Galactinol,Galactose,Gluconic_acid,Glucose,Glutamic_acid,Glutamine,Glycine,Isoleucine,Itaconic_acid,Lactic_acid,Leucine,Lysine,Malic_acid,Maltose,Mellibiose,myo-Inositol,Phenylalanine,Proline,Putresceine,Pyruvic_acid,Raffinose,Serine,Spermidine,Succinic_acid,Sucrose,Threitol,Threonic_acid,Threonine,Trehalose,Tryptophan,Tyrosine,Valine
4,0.146754431,0.105234249,0.074058713,0.018823309,0.001497231,0.015022969,4.065507021,0.538061805,0.061691448,0.000789109,0.000391337,0.012103993,0.035949025,0.000299619,0.001180155,0.366348553,32.05164035,63.69005976,0.021780634,3.712060488,0.177837776,0.233682878,8.56236358,0.127717208,3.077154815,0.009671039,0.004458371,0.002135507,0.145317907,0.013148681,0.029634581,4.876616358,0.26320418,0.458744104,3.699061869,0.003694854,0.002295744,0.052442908,0.004134683,1.273349342,0.023570506,0.001413674,0.16914912,27.86669517,0.002169063,0.024948539,0.00563384,0.036341113,0.041890013,0.019742971,0.012489077
4,0.156268125,0.199073856,0.056445542,0.040706957,0.001937027,0.051663041,3.336535161,1.043677281,0.157980076,0.000674145,0.000428212,0.003987425,0.715143934,0.000457633,0.002289103,0.829360676,18.97370085,65.34349646,0.082308551,16.70669745,0.212560193,0.124631515,11.44404595,0.230813042,2.85325124,0.02212133,0.050631232,0.009917899,0.248003169,0.066756977,0.022539601,4.222441055,0.367350316,0.57297285,4.870742555,0.009001806,0.058170637,0.065015358,0.004029279,3.505482876,0.24713874,0.0015163,0.146205346,26.54121677,0.002868232,0.123568041,0.017740672,0.073586471,0.288279488,0.004602153,0.068825674
4,0.042007848,0.02396769,0.023678043,0.028615574,0.000849964,0.003963855,1.127377652,0.721226742,0.045271177,0.000233532,0.000424384,0.004436347,0.041315678,0.00030252,0.000358578,0.178183518,12.28373867,5.553510991,0.028183403,2.536980587,0.044580911,0.033881529,0.913071919,0.032730677,3.026668305,0.014761975,0.014557934,0.008736507,0.304648904,0.015219721,0.006568649,1.43244982,0.070238434,0.1720614,0.562645017,0.00332119,0.0027568,0.024828478,0.003809091,0.461560994,0.029467443,0.001021365,0.044658932,8.061989682,0.001279605,0.007003053,0.004738101,0.012455147,0.065256117,0.006234298,0.026853635
8,1.045756265,0.816360554,0.76053583,0.094007565,0.013180979,0.257469543,25.86601377,3.113198748,0.67621569,0.003895483,0.003560187,0.154272224,1.078221043,0.004979298,0.006375578,2.174398669,223.1924005,311.3801855,0.284751502,37.52900192,1.089451762,2.226833151,49.67836379,1.183484441,3.912429906,0.177896169,0.075415827,0.019212848,0.867470054,0.056607291,0.287599254,31.39153554,2.747759162,3.695458789,22.73785052,0.028624313,0.063744762,0.523086518,0.034991999,8.244440068,0.122738142,0.038897409,2.278985841,52.6029532,0.022087377,0.301613649,0.035815463,0.426590147,0.86728661,0.197489877,0.129108534
8,1.467516287,0.984333858,0.518201649,0.150922107,0.013106356,0.163405735,28.94850454,4.941279187,0.621189031,0.002638994,0.002697694,0.070444846,1.183968655,0.002919472,0.011676436,3.706557834,146.1960456,527.5610408,0.276147878,69.29530182,2.544982338,1.892107149,89.72277835,1.405131157,2.550355984,0.090447494,0.086906829,0.027029501,0.569730146,0.105892817,0.042448914,25.81853205,6.079290642,8.545635938,35.40146062,0.043547908,0.069160265,0.648330586,0.026406854,24.462172,0.19614595,0.07652169,1.746268586,175.9979982,0.036252832,0.560226034,0.040091441,0.663547606,1.484142198,0.463426701,0.137154337
8,1.687263278,1.29988811,0.643176969,0.154703055,0.012305319,0.135772764,30.6826111,5.11396209,0.722038676,0.004337543,0.002612311,0.04247813,0.002896818,0.00393125,0.015923848,4.153795599,165.3407809,176.7269991,0.408596093,127.3044545,1.73396785,1.691481808,37.38825008,1.414395783,3.240597681,0.223451264,0.338221565,0.031887994,0.62453261,0.259083619,0.142252951,25.87088688,2.969609058,8.943394134,23.21879227,0.07269765,0.14719533,0.700544489,0.091914,37.09146565,0.255331601,0.063839159,0.064119315,146.1729459,0.074223654,0.423930777,0.146498423,0.405270415,1.699321157,0.214288015,0.429394493
13,2.646945017,1.529358142,0.622400894,0.106301106,0.009504468,0.275696539,28.37179305,4.073003949,0.404791812,0.002583304,0.003770753,0.099557388,1.992436091,0.005666099,0.010183739,2.005202347,169.4916056,715.2382446,0.29059365,65.16723654,2.635345864,2.521053874,147.2038397,2.174110252,2.622600461,0.11106063,0.676694204,0.024089845,1.032870235,0.783142402,0.339661221,16.11181834,3.033700865,5.473279416,36.36034653,0.107889875,0.509014337,0.387109594,0.02073052,22.7960019,0.354514364,0.068210237,4.18327751,197.3948772,0.021886625,0.350826389,0.122726559,0.53781641,0.981546486,0.584642433,0.777504344
13,0.7869444,1.077740637,0.266995344,0.313341823,0.009853039,0.308149145,12.77548185,5.930214933,0.429792259,0.001266638,0.002164673,0.023511202,3.706473367,0.003244434,0.006951866,1.996263781,58.3770612,400.77223,0.385900967,84.16311607,1.07282982,1.012431379,87.39076272,2.794713651,3.158406288,0.345729323,0.193100421,0.09038032,0.942733584,0.213484337,0.119742406,7.352650989,1.673571389,3.366197185,28.47554764,0.095299879,0.053035322,0.164899482,0.050803834,16.03601434,0.320258456,0.010191678,1.387222294,150.0385653,0.015306208,0.445959444,0.113587292,0.201747574,0.979997756,0.145229225,0.178877388
13,1.008008903,0.596176986,0.357180723,0.166714332,0.010569551,0.124392026,18.90750246,3.74049077,0.174468465,0.00136033,0.002262933,0.071626881,1.006135542,0.003134005,0.006374276,0.65942532,96.62820979,157.2609942,0.12311544,67.55482409,1.189391371,1.08870768,31.10188264,1.983095793,2.951781569,0.18701163,0.178897475,0.010586508,0.712826647,0.060925052,0.047528715,9.978275442,2.206222187,5.161079369,10.06798544,0.033912063,0.068627915,0.456996102,0.028276958,13.69408111,0.138321439,0.02269133,1.126985172,107.8793482,0.019555793,0.222289235,0.080919587,0.213721079,1.286387511,0.149740979,0.183080369
19,0.125087088,0.093637813,0.071812439,0.033082029,0.001706341,0.031197752,4.180356627,0.457380404,0.039191512,0.000550521,0.000876771,0.022784133,0.082374376,0.000513702,0.001492213,0.259025162,28.83048396,63.19577113,0.024419081,4.201457274,0.19315976,0.270624728,12.51715223,0.207158742,2.689090247,0.015984812,0.015107932,0.001446952,0.186812087,0.008797297,0.024126503,3.335528939,0.368299342,0.466562654,3.325363307,0.003712941,0.010187775,0.053554408,0.005089879,0.794602206,0.027487394,0.007469375,0.433146047,26.16694427,0.005344648,0.064111211,0.005907153,0.0270473,0.105348019,0.047638891,0.01165729
19,1.332731152,0.633284457,0.41859191,0.166790131,0.017463911,0.157515669,18.27801377,5.272710726,0.318204974,0.001486114,0.00201979,0.044165527,0.662961231,0.014822319,0.008103958,2.046752622,86.08767556,467.0604304,0.23921816,44.9148807,2.18272354,2.486306677,91.63765756,1.355135672,2.748318915,0.076379187,0.037507011,0.031175554,0.892809133,0.318460189,0.130131856,12.14878749,2.656496787,5.809496786,26.39768444,0.051878039,0.033194144,0.27857803,0.020707638,13.45366009,0.118117626,0.028995087,1.010097611,122.953274,0.020400582,0.540671472,0.0298723,0.42015677,0.795942418,0.27231869,0.076693933
19,0.708036438,0.647707515,0.30530359,0.221452921,0.006957626,0.08940831,16.17384394,8.548451829,0.389976396,0.00206092,0.002959875,0.022783994,1.305403681,0.002619865,0.004860347,1.815515306,93.18537922,191.4211045,0.345655121,71.42968469,0.941524821,1.07697797,35.362207,0.980137714,3.049972496,0.105257831,0.154556096,0.054937427,1.346212166,0.171741899,0.048679929,11.14836902,1.448267341,4.278025367,13.56434175,0.028059781,0.070256222,0.223656623,0.053877452,21.3129482,0.21308111,0.015861852,0.736759355,144.3611011,0.044762371,0.245904795,0.048841884,0.247289103,1.687855547,0.116577096,0.098396588
