G_H2O,CO2
7.17824695,1.4043179
11.043227,2.519273
0.2205585,0.2075128
0.6969105,0.12621585
8.1611998,1.7725735
11.0315845,2.322778
0.083047,0.2328813
0.4490565,0.17799725
8.3098693,1.8059602
6.9269915,1.39256625
0.537549,0.21823335
0.9393025,0.22931435
8.7579447,1.95343195
3.188574,0.79071785
0.597934,0.2422514
1.615566,0.28437365
10.354933,2.155942
1.008083,0.1899837
0.1600355,0.2204748
1.2101155,0.4211382
9.942402,2.218696
0.062948,0.25609845
0.5087685,0.1440866
0.550194,0.19944005
4.594605,1.57244845
3.8011335,1.50330905
-0.2396925,0.17363715
0.8340665,0.228487
6.288665,1.965644
4.5954635,1.5911437
-0.3404,0.18031515
-0.5908105,0.23893025
5.800787,1.84866615
4.0072705,1.56214865
-0.2129035,0.1579725
0.7751445,0.2947371
7.2976681,2.0362775
1.460281,0.948839735
-0.343982,0.20619555
4.5782695,0.3516362
6.4667895,1.84867205
-0.2684305,0.60229135
0.1672255,0.1911651
6.4318245,0.4296954
6.604128,1.94545215
-0.3776705,0.1897394
6.320165,0.2190509
6.752357,1.98694495
-0.3202855,0.16967315
1.881819,0.2227666
7.1500541,1.949814
0.072118,0.1620461
1.7453485,0.25259395
