TIME,Epi-catechin,5-trans-Caffeoylquinic_acid,Aconitic_acid,Benzoic_acid,Citramalic_acid,Glyceric_acid,Isocitric_acid,Isoquercitrin,Maleic_acid,Malic_acid_1-methylester,Urea,2-Oxoglutaric_acid,Alanine,Arginine,Asparagine,Aspartic_acid,Citric_acid,Fructose,Fumaric_acid,Galactinol,Galactose,Gluconic_acid,Glucose,Glutamic_acid,Glutamine,Glycine,Isoleucine,Itaconic_acid,Lactic_acid,Leucine,Lysine,Malic_acid,Maltose,Mellibiose,myo-Inositol,Phenylalanine,Proline,Putresceine,Pyruvic_acid,Raffinose,Serine,Spermidine,Succinic_acid,Sucrose,Threitol,Threonic_acid,Threonine,Trehalose,Tryptophan,Tyrosine,Valine
4,0.013310845,0.102336815,0.975913135,0.114222927,0.010776372,2.483638005,2.393990921,3.678307163,4.756037216,0.039013985,0.002409545,0.029388429,0.409673439,0.076037906,0.004957123,2.095328365,437.9746924,341.9964226,1.112746703,0.780453719,0.499845386,0.011287618,72.09924646,0.635730478,5.433822688,0.203694459,0.229633612,0.136794286,1.116473068,0.415340558,0.223507411,97.06011325,0.417215115,1.090599598,14.18970207,0.041522793,0.141802354,0.553534169,0.011823567,0.329398595,0.320909948,0.080184264,0.724132161,130.9059508,0.067257526,2.70697028,0.038521644,0.031801755,0.066518405,0.147780687,0.395139654
4,0.01298169,0.034440823,0.472906511,0.140267635,0.004750218,0.164411643,1.669383148,7.64107539,1.628760872,0.011070382,0.002399562,0.068520582,0.38220899,0.003263568,0.00585956,0.96918882,285.346171,582.3134957,0.768257993,0.837581751,0.740166828,0.012870687,130.8201997,0.889925394,3.855668271,0.189982739,0.016666979,0.112165813,1.32997347,0.148490006,0.054599655,77.41709561,1.190735108,3.273380939,7.659821248,0.157122404,0.01212788,0.095851948,0.045390927,0.371507102,0.063047028,0.010672682,0.261216596,174.4305446,0.039787821,0.071341346,0.027085338,0.18345952,0.506066561,0.067404961,0.078442047
4,0.006799748,0.056193782,0.550308139,0.07442674,0.003640231,0.62798894,2.9966583,5.08009675,1.691457119,0.01484526,0.003807156,0.03938619,0.821296978,0.003208837,0.014408093,2.2460659,284.0519336,547.3913541,0.509241762,1.032253977,62.02474059,0.022495376,149.3777084,2.200147107,4.50173483,0.11651912,0.057934741,0.022190846,0.678816273,0.056483055,0.072233131,73.21716172,2.376424502,6.832703802,13.24501925,0.064343932,0.018579227,0.362747945,0.029770322,0.188203606,0.140503502,0.064848644,0.441900398,172.3538207,0.047479182,0.181989339,0.051843207,0.256262571,0.853428092,0.268116658,0.096004623
8,0.012674406,0.020385317,0.355786887,0.093104852,0.003633069,0.751658662,0.924585146,2.679385996,0.568047347,0.005018601,0.002963434,0.01578939,0.116569013,0.002972036,0.003829118,0.401503507,188.9434679,30.70125031,0.327969626,0.32306762,0.134500622,0.003605288,6.523484496,0.323074946,4.934892318,0.119600715,0.03848881,0.094298317,1.769597657,0.042922335,0.031884555,36.43283369,0.239232555,0.54393191,3.807253245,0.014995165,0.010553342,0.042375344,0.022072733,0.14573904,0.20683113,0.002068115,0.185820768,57.87396309,0.036850239,0.765603767,0.026352428,0.007336808,0.01353784,0.021035773,0.076545614
8,0.022623329,0.046884764,0.589953363,0.404412273,0.005211868,0.212764158,1.380215919,9.091342664,2.860035459,0.021854835,0.004544494,0.21636221,1.229223831,0.004535517,0.008277393,1.055956259,360.3174486,427.1264608,1.51039565,3.585794997,0.674969207,0.016226346,58.74400306,0.571424243,3.972820693,0.219652151,0.038069102,0.148363778,1.547838697,0.368898875,0.045340054,120.2284099,1.160313676,3.837911588,8.147731651,0.214923768,0.029730457,0.228847802,0.086148024,2.743790586,0.151370229,0.014538868,0.671172415,174.6184039,0.078419197,0.131732758,0.026278078,0.520595696,0.688281047,0.119919358,0.115776965
8,0.007765684,0.041243091,0.451104807,0.12651028,0.003229872,0.444691242,2.321988402,5.991355546,1.645275301,0.017083668,0.004088984,0.085432184,0.697825734,0.004651839,0.008045891,1.462797563,368.7838393,432.5229439,0.591982828,0.700036267,23.39555609,0.019079191,92.33466002,1.043363479,4.236427805,0.066636165,0.051798971,0.037553247,1.632721223,0.08677017,0.054497626,110.9133133,5.32250095,1.274135694,10.94072573,0.04183171,0.015669088,0.403961571,0.070315308,0.091255618,0.224479909,0.086959359,0.207928155,169.6413718,0.038244573,0.075362913,0.044517395,0.143312405,0.629564223,0.088672349,0.087323196
13,0.064888418,0.062429914,0.518479839,0.094190371,0.008069948,2.31494995,1.92020191,1.577517309,1.273336374,0.020788229,0.004402678,0.022800867,0.863243334,0.080642227,0.007687011,0.621255223,351.7168097,168.4050375,0.28056448,0.955154837,0.342797157,0.013184987,25.29844148,0.87408305,4.994505762,0.50918685,0.221740084,0.013562419,1.588991356,0.272843355,0.102214755,76.03096556,0.394498351,1.497133247,10.642884,0.076554287,0.073949496,0.095890184,0.012312917,0.257507861,0.452773274,0.084829507,0.745373933,134.7729657,0.081594329,1.721343696,0.099069968,0.030752667,0.042014996,0.117464095,0.398979765
13,0.033558861,0.039675824,0.733368213,0.123650824,0.004761745,0.419522409,2.292438696,6.950784154,3.7758002,0.024317643,0.00379104,0.093262055,0.392241989,0.004702103,0.009723773,0.596160016,299.5587297,408.2951951,1.125590137,1.864267338,0.248945251,0.018422683,96.26715675,1.994865082,4.919391434,0.339647413,0.147933013,0.087304323,1.745308197,0.053539879,0.083349818,97.39167461,1.289684375,5.474993795,10.41138757,0.225861847,0.019486093,0.085108251,0.089377685,0.425152952,0.108344186,0.068774541,1.189249052,196.3961025,0.113219695,0.158761945,0.09605253,0.250695658,0.648869866,0.180571606,0.23235515
13,0.010215416,0.033704539,0.430345364,0.109537528,0.002443657,0.640842335,2.502737445,4.569042014,2.425686069,0.017064402,0.003633263,0.0705831,0.551028336,0.003165946,0.006701193,0.551970568,223.0126243,286.2817665,0.53241869,1.025286692,21.68081628,0.015162303,65.16889366,1.579142176,5.255761131,0.488919505,0.083639088,0.040650934,0.800877285,0.085399801,0.047047669,82.2103939,1.429827397,4.510629197,7.026100697,0.064679577,0.031065191,0.323527197,0.042260887,0.182292474,0.570796954,0.02289485,1.111249629,142.8288141,0.058453194,0.112131495,0.049177099,0.151079701,0.513308763,0.154588258,0.197268433
19,0.025326421,0.088687515,0.941317652,0.291663825,0.006553378,3.256958102,2.792772016,6.135220084,2.466030382,0.016107702,0.002995264,0.067430681,0.492899515,0.013331696,0.002797279,1.156127565,571.6095681,349.7175423,0.959077426,2.912933838,2.020808259,0.01106386,74.8365464,0.957451619,4.366893005,0.176481643,0.078731846,0.190364285,2.456423375,0.234965315,0.091185053,115.0002627,0.294637739,1.312193385,12.88980736,0.050047983,0.10468532,0.212012788,0.020514738,1.376461844,0.231844103,0.009360103,0.637743656,199.9289085,0.057282864,2.926377582,0.078190115,0.029354614,0.125479602,0.077176232,0.146755482
