TIME,Epi-catechin,5-trans-Caffeoylquinic_acid,Aconitic_acid,Benzoic_acid,Citramalic_acid,Glyceric_acid,Isocitric_acid,Isoquercitrin,Maleic_acid,Malic_acid_1-methylester,Urea,2-Oxoglutaric_acid,Alanine,Arginine,Asparagine,Aspartic_acid,Citric_acid,Fructose,Fumaric_acid,Galactinol,Galactose,Gluconic_acid,Glucose,Glutamic_acid,Glutamine,Glycine,Isoleucine,Itaconic_acid,Lactic_acid,Leucine,Lysine,Malic_acid,Maltose,Mellibiose,myo-Inositol,Phenylalanine,Proline,Putresceine,Pyruvic_acid,Raffinose,Serine,Spermidine,Succinic_acid,Sucrose,Threitol,Threonic_acid,Threonine,Trehalose,Tryptophan,Tyrosine,Valine
4,0.02167262,0.072394732,0.115310246,0.059904589,0.003775865,0.161118998,1.202322121,2.161943218,0.119804664,0.002033845,0.001883918,0.006792552,0.112818349,0.003405364,0.003597431,0.756245942,99.36810616,817.2872392,0.07892763,3.779031034,5.44521915,0.012213888,203.3432826,0.591478498,3.362574396,0.031196213,0.013332539,0.003357257,0.545296822,0.044243349,0.084071833,14.43211664,0.392583674,2.028812437,14.06461967,0.013726124,0.009508173,0.069348144,0.017254756,2.092266925,0.104183049,0.005135781,0.239317411,100.2409345,0.008495673,0.118992744,0.015188405,0.146795922,0.030560788,0.24113247,0.03230617
4,0.005043664,0.01130854,0.065525451,0.033035841,0.000801167,0.021916062,0.155731651,1.883415952,0.075659676,0.000397206,0.00166277,0.001037406,0.10589869,0.0013227,0.00166531,0.266931248,26.2764835,174.5265723,0.106412942,0.803176247,0.600174553,0.005179091,39.04058261,0.140827556,4.435842678,0.022619107,0.007185516,0.004995266,0.406380462,0.042058638,0.015924568,1.508535991,0.653462963,1.96487673,2.808267418,0.005937227,0.003888602,0.055863326,0.009907341,0.628157023,0.051941353,0.003206185,0.047013857,29.14062841,0.005434678,0.061519557,0.005474385,0.131752696,0.521604039,0.147579668,0.009170842
4,0.009530458,0.04568801,0.468553577,0.082956468,0.004578128,0.228948355,1.471149561,4.424558192,0.391595397,0.004298168,0.004258093,0.024624643,0.639967602,0.007068438,0.081678717,5.188737378,222.2876356,636.0208296,0.285395864,7.384878191,0.865815823,0.027010502,154.9465167,2.315187904,3.789067606,0.129034754,0.388920618,0.016028768,1.211112029,0.386605408,0.356029666,24.21764651,1.678795236,8.556459143,15.12642509,0.243752237,0.095360507,0.767842714,0.040573966,3.464064832,0.864941136,0.088412323,0.343822475,129.6423506,0.039679106,0.292409321,0.115459615,0.374446465,3.675879786,0.272871924,0.740792815
8,0.014781072,0.021022602,0.230737048,0.08794263,0.007771921,0.342147285,1.38215217,5.485378524,0.414275821,0.010127274,0.00524818,0.050473613,0.707902673,0.007472045,0.007129985,1.969701765,427.91276,1636.466575,0.149185627,9.012984153,6.564716129,0.020960063,395.0465718,1.369641132,3.275457924,0.451741114,0.087249416,0.024454374,0.996255879,0.053529457,0.12163721,77.60849164,0.917723055,4.145781573,23.57895973,0.049362027,0.021874936,0.682132551,0.023066386,4.35088146,0.267950019,0.061413983,0.372687794,217.4351806,0.034883863,0.204119096,0.036797544,0.250903851,0.128572041,0.22990507,0.057782294
8,0.043685149,0.055790365,0.405895724,0.132745182,0.004987743,0.069799573,0.974627835,10.58953268,0.695736535,0.004210675,0.003686308,0.012567966,0.629289053,0.004111911,0.009640906,1.137446557,164.7758232,876.2702698,0.490305348,4.445536917,1.980377736,0.013954709,190.3851811,0.871434581,3.227990538,0.105981131,0.04562743,0.074404679,0.789609696,0.203065277,0.04126183,25.02475018,3.040981801,8.246116853,10.03527107,0.028022157,0.046907356,0.208688048,0.078169178,2.535288503,0.275006529,0.019623615,0.149607468,132.8630853,0.031007041,0.100097241,0.035891293,0.526430951,3.706657939,0.196332416,0.121109417
8,0.010540602,0.055501685,0.447325992,0.088016328,0.004762912,0.151684303,1.788722044,5.367101635,0.567418249,0.008353286,0.0021833,0.042547791,0.941011843,0.002960977,0.01004737,2.910970869,345.3585545,1002.763374,0.329610746,3.123815502,0.787626937,0.016323692,230.8490392,1.497818247,3.631674996,0.07826183,0.099260006,0.040059965,0.942279525,0.237060444,0.078617581,52.25628243,1.394103146,6.218346637,19.71488884,0.107958179,0.027564539,0.35425388,0.048742928,2.335866394,0.157002143,0.01340604,0.314288927,201.3132676,0.031697198,0.097358581,0.044094123,0.035488262,0.649911306,0.166168858,0.138951446
13,0.015150108,0.126728619,0.329228835,0.105686145,0.004944332,0.649506218,0.800416034,7.187047853,0.318782649,0.003270117,0.003110736,0.042542548,0.317668633,0.005858105,0.00241962,0.094417707,174.9118016,1063.698589,0.203691594,3.09511051,11.68974242,0.034257488,270.6641334,1.205577462,3.296700146,0.750559934,0.044864596,0.072978303,0.942120304,0.121997773,0.08248251,17.43668358,0.723749885,3.073454025,19.65009162,0.052102621,0.056416985,0.1329009,0.027273665,2.945758079,0.231877014,0.003341095,3.355033261,148.4445954,0.014124971,0.261445912,0.027181411,0.21902456,0.046579344,0.342261543,0.142134214
13,0.016145311,0.032362106,0.212546127,0.153050458,0.005468775,0.05441939,0.366096815,3.812028711,0.161407643,0.004494331,0.005084091,0.009527798,0.497475064,0.002789113,0.008761086,0.516368942,149.2993768,1180.235997,0.16827031,7.406352204,0.952984053,0.00975053,264.8077054,1.253569008,3.011541528,0.677559711,0.123632543,0.003918868,1.265675062,0.344811867,0.026729661,10.00149741,4.531533559,5.85673093,11.56106741,0.066853019,0.074096933,0.200197498,0.043918243,3.490740598,0.597782912,0.013584008,0.314081542,192.994327,0.021145965,0.247977891,0.059040595,0.51350647,1.796445582,0.101399947,0.192108905
13,0.006952306,0.095193259,0.603972804,0.106535119,0.00586679,0.327733696,2.205458506,5.108384047,0.173600373,0.006148926,0.00810289,0.035508499,2.217469061,0.009672306,0.018991897,1.471852231,479.7597492,1558.254713,0.128540259,10.37997726,11.99203599,0.018055933,395.302341,6.018785499,3.027069075,0.488387811,0.177007085,0.010310742,1.424031099,0.081761964,0.112795202,22.66125355,2.526716448,13.87847134,28.19497206,0.319159675,0.230302937,0.751835635,0.049903045,5.021754226,1.186625343,0.268503188,0.922607999,333.225783,0.032502078,0.124942978,0.080325746,0.434978353,3.418794787,0.315105431,0.422555962
19,0.023866685,0.089792421,0.151714802,0.118719737,0.00348807,0.362517088,0.493991935,4.027006331,0.210721516,0.001085991,0.002797161,0.015504174,0.150690738,0.005660721,0.001554978,0.473209114,116.2312806,818.4903074,0.205182927,3.868966814,6.761641627,0.032727359,197.0263684,0.452555338,3.074170203,0.133523079,0.043295835,0.030974082,1.134098053,0.081179762,0.096349856,10.28217098,1.941166289,2.200420155,15.86405744,0.051116558,0.011511,0.183053478,0.023831904,3.852676513,0.104580699,0.004485786,0.424266105,114.0666565,0.011461464,0.201713519,0.019802689,0.359009738,0.143353525,0.047575302,0.056677872
19,0.02985741,0.035881107,0.014262317,0.136217587,0.003219539,0.066430674,0.494440762,7.383042554,0.182160602,0.001012943,0.003251175,0.005412574,0.339951033,0.002636803,0.005742848,0.246806894,98.98025106,703.455003,0.298966227,4.378194102,8.854075788,0.014011943,160.8518659,0.802072362,2.882096272,0.127871221,0.042728297,0.025075425,0.908023912,0.14810518,0.032319253,3.381666696,2.397633135,8.481161506,10.27104905,0.036952912,0.051768444,0.11459462,0.03273528,2.526003737,0.204053433,0.025606854,0.281513814,119.1618875,0.032714576,0.403811372,0.033579966,0.475626672,2.840462777,0.133321592,0.064752387
19,0.011719939,0.032746604,0.208599908,0.110724896,0.003837666,0.064421751,0.341325091,5.66512346,0.162353116,0.002395407,0.003402107,0.017989758,0.761380882,0.006641554,0.005467326,0.944865035,157.1548798,975.5560427,0.271245345,5.67054677,1.177518178,0.014649874,246.9606571,1.67487328,2.785928964,0.289846725,0.119546112,0.059368375,0.832933032,0.241487364,0.072658153,8.203059222,1.263998236,4.428476461,15.87352383,0.113338449,0.085385726,0.237084492,0.02369257,5.296185236,0.153939249,0.007847527,0.318466425,212.915211,0.021135571,0.072014518,0.04560269,0.600351581,0.427311169,0.302888079,0.188024541
