Entity_A,Entity_B,Type,Score
ABCI19,SKD1,protein-protein,0.65
ABCI19,ABCB8,protein-protein,0.725
ABCG31,ABCB8,protein-protein,0.417
ABCG31,ABCC13,protein-protein,0.46
ABCB8,ABCC13,protein-protein,0.413
ABCB8,SKD1,protein-protein,0.483
ABCC13,SKD1,protein-protein,0.473
ABCG31,ABCB1,protein-protein,0.478
ABCG31,ABCD1,protein-protein,0.51
ABCC13,ABCB1,protein-protein,0.41
ABCG32,ABCB6,protein-protein,0.402
ABCG32,ABCB20,protein-protein,0.415
ABCG32,ABCC13,protein-protein,0.487
ABCG32,ABCG11,protein-protein,0.516
ABCG23,ABCB11,protein-protein,0.4
ABCG23,SKD1,protein-protein,0.513
ABCG23,ABCC13,protein-protein,0.627
ABCG35,SKD1,protein-protein,0.451
ABCG35,ABCC13,protein-protein,0.584
ABCG21,SKD1,protein-protein,0.47
ABCG21,ABCC13,protein-protein,0.622
ABCA1,ABCC13,protein-protein,0.401
ABCA1,ABCB1,protein-protein,0.426
ABCB28,ABCC13,protein-protein,0.405
ABCB28,SKD1,protein-protein,0.433
ABCB28,ABCB25,protein-protein,0.448
ABCB6,ABCC13,protein-protein,0.415
ABCB6,ABCB25,protein-protein,0.424
ABCB6,SKD1,protein-protein,0.432
ABCB6,ABCG36,protein-protein,0.498
ABCG11,ABCC13,protein-protein,0.445
ABCG11,ABCG9,protein-protein,0.679
ABCG11,ABCG14,protein-protein,0.773
ABCG22,ABCC13,protein-protein,0.447
ABCG14,ABCB15,protein-protein,0.4
ABCG14,ABCG9,protein-protein,0.422
ABCG14,ABCC13,protein-protein,0.668
ABCB14,ABCG36,protein-protein,0.417
ABCB14,ABCC13,protein-protein,0.425
ABCB13,ABCC13,protein-protein,0.406
ABCB13,SKD1,protein-protein,0.456
ABCG13,SKD1,protein-protein,0.4
ABCG13,ABCC13,protein-protein,0.574
ABCB11,ABCG36,protein-protein,0.418
ABCB11,ABCC13,protein-protein,0.426
ABCB15,ABCB25,protein-protein,0.405
ABCB15,ABCC13,protein-protein,0.419
ABCB15,ABCG36,protein-protein,0.445
ABCG26,ABCC13,protein-protein,0.531
ABCB22,ABCC13,protein-protein,0.403
ABCB17,ABCC13,protein-protein,0.416
ABCB17,SKD1,protein-protein,0.54
ABCB25,ABCG36,protein-protein,0.401
ABCB25,ABCB1,protein-protein,0.414
ABCB25,ABCC13,protein-protein,0.465
ABCG16,ABCB1,protein-protein,0.402
ABCG16,ABCC13,protein-protein,0.406
ABCB20,ABCC13,protein-protein,0.416
ABCB20,SKD1,protein-protein,0.479
ABCC13,ABCG36,protein-protein,0.458
ABCC13,ABCG9,protein-protein,0.62
ABCG36,ABCB1,protein-protein,0.436
LPD1,L2HGDH,protein-protein,0.414
LPD1,SDH2-2,protein-protein,0.483
LPD1,SDH1-1,protein-protein,0.567
LPD1,SDH1-2,protein-protein,0.623
LPD1,GAD4,protein-protein,0.659
LPD1,HACL,protein-protein,0.666
LPD1,FUM2,protein-protein,0.709
LPD1,FUM1,protein-protein,0.794
LPD1,GLT1,protein-protein,0.841
LPD1,LPD2,protein-protein,0.914
LPD1,GDH1,protein-protein,0.97
LPD1,GDH2,protein-protein,0.974
LPD1,GDCST,protein-protein,0.982
LPD2,ALDH10A8,protein-protein,0.404
LPD2,L2HGDH,protein-protein,0.414
LPD2,SDH2-2,protein-protein,0.604
LPD2,SDH1-2,protein-protein,0.617
LPD2,GAD4,protein-protein,0.659
LPD2,HACL,protein-protein,0.666
LPD2,SDH1-1,protein-protein,0.666
LPD2,FUM1,protein-protein,0.735
LPD2,FUM2,protein-protein,0.746
LPD2,GLT1,protein-protein,0.839
LPD2,GDH1,protein-protein,0.971
LPD2,GDH2,protein-protein,0.974
LPD2,GDCST,protein-protein,0.979
AK2,PPC3,protein-protein,0.465
AK2,GAD4,protein-protein,0.477
AK2,HACL,protein-protein,0.517
AK2,AGT2,protein-protein,0.63
AK2,DELTA-OAT,protein-protein,0.675
AK2,PYRB,protein-protein,0.814
AK2,ASP5,protein-protein,0.846
AK2,ASP3,protein-protein,0.846
AK2,ASP1,protein-protein,0.851
AK2,LKR/SDH,protein-protein,0.854
AK2,AKHSDH2,protein-protein,0.894
AK2,AKHSDH1,protein-protein,0.897
AK2,ASN3,protein-protein,0.902
AK2,AK3,protein-protein,0.905
AK2,ASN1,protein-protein,0.946
GDCST,ALDH5F1,protein-protein,0.44
GDCST,LKR/SDH,protein-protein,0.454
GDCST,DELTA-OAT,protein-protein,0.455
GDCST,ASP5,protein-protein,0.468
GDCST,SDH1-1,protein-protein,0.469
GDCST,SDH1-2,protein-protein,0.485
GDCST,GAD4,protein-protein,0.617
GDCST,GLT1,protein-protein,0.858
GDCST,GDH2,protein-protein,0.995
GDCST,GDH1,protein-protein,0.996
AKHSDH2,HACL,protein-protein,0.52
AKHSDH2,NAGK,protein-protein,0.521
AKHSDH2,LKR/SDH,protein-protein,0.6
AKHSDH2,DELTA-OAT,protein-protein,0.716
AKHSDH2,ASP3,protein-protein,0.832
AKHSDH2,ASP5,protein-protein,0.837
AKHSDH2,ASP1,protein-protein,0.838
AKHSDH2,PYRB,protein-protein,0.85
AKHSDH2,AK3,protein-protein,0.882
AKHSDH2,ASN3,protein-protein,0.886
AKHSDH2,ASN1,protein-protein,0.899
AKHSDH2,AGT2,protein-protein,0.916
AKHSDH2,AKHSDH1,protein-protein,0.917
GDH2,GLYR1,protein-protein,0.488
GDH2,GAD4,protein-protein,0.609
GDH2,GLT1,protein-protein,0.82
GDH2,GDH1,protein-protein,0.903
SDH1-1,GAD4,protein-protein,0.405
SDH1-1,HACL,protein-protein,0.409
SDH1-1,ALDH5F1,protein-protein,0.62
SDH1-1,ALDH7B4,protein-protein,0.637
SDH1-1,L2HGDH,protein-protein,0.651
SDH1-1,ALDH3F1,protein-protein,0.655
SDH1-1,ALDH3I1,protein-protein,0.656
SDH1-1,ALDH10A8,protein-protein,0.682
SDH1-1,ALDH2B4,protein-protein,0.693
SDH1-1,ALDH3H1,protein-protein,0.716
SDH1-1,ASP1,protein-protein,0.872
SDH1-1,ASP5,protein-protein,0.875
SDH1-1,ASP3,protein-protein,0.878
SDH1-1,SDH1-2,protein-protein,0.902
SDH1-1,FUM2,protein-protein,0.993
SDH1-1,FUM1,protein-protein,0.997
SDH1-1,SDH2-2,protein-protein,0.999
GDH1,GAD4,protein-protein,0.609
GDH1,GLT1,protein-protein,0.817
NIT4,ASN1,protein-protein,0.452
NIT4,ASP3,protein-protein,0.555
NIT4,AGT2,protein-protein,0.578
NIT4,OXP1,protein-protein,0.583
NIT4,AIH,protein-protein,0.722
NIT4,GAD4,protein-protein,0.809
NIT4,GGT3,protein-protein,0.905
ASP5,ALDH5F1,protein-protein,0.401
ASP5,ALDH10A8,protein-protein,0.462
ASP5,GAD4,protein-protein,0.624
ASP5,SDH2-2,protein-protein,0.725
ASP5,PPC1,protein-protein,0.73
ASP5,PPC3,protein-protein,0.786
ASP5,GSH1,protein-protein,0.806
ASP5,AKHSDH1,protein-protein,0.838
ASP5,AK3,protein-protein,0.846
ASP5,SDH1-2,protein-protein,0.864
ASP5,PYRB,protein-protein,0.91
ASP5,ASP3,protein-protein,0.918
ASP5,ASP1,protein-protein,0.921
ASP5,GLT1,protein-protein,0.936
ASP5,FUM1,protein-protein,0.943
ASP5,FUM2,protein-protein,0.943
ASP5,ASN1,protein-protein,0.958
ASP5,ASN3,protein-protein,0.977
GSH1,GAD4,protein-protein,0.803
GSH1,GLT1,protein-protein,0.806
GSH1,ASP3,protein-protein,0.806
GSH1,ASP1,protein-protein,0.812
GSH1,AGT2,protein-protein,0.904
GSH1,GGT3,protein-protein,0.924
GSH1,OXP1,protein-protein,0.93
ASP1,ALDH5F1,protein-protein,0.401
ASP1,PPC1,protein-protein,0.493
ASP1,PPC3,protein-protein,0.534
ASP1,GAD4,protein-protein,0.624
ASP1,SDH2-2,protein-protein,0.735
ASP1,AK3,protein-protein,0.846
ASP1,AKHSDH1,protein-protein,0.848
ASP1,SDH1-2,protein-protein,0.864
ASP1,ASP3,protein-protein,0.919
ASP1,PYRB,protein-protein,0.92
ASP1,FUM2,protein-protein,0.943
ASP1,FUM1,protein-protein,0.944
ASP1,ASN3,protein-protein,0.954
ASP1,ASN1,protein-protein,0.963
ASP3,NAGK,protein-protein,0.411
ASP3,ALDH2B4,protein-protein,0.431
ASP3,DELTA-OAT,protein-protein,0.435
ASP3,ALDH7B4,protein-protein,0.483
ASP3,PYD3,protein-protein,0.544
ASP3,GLT1,protein-protein,0.675
ASP3,GAD4,protein-protein,0.712
ASP3,SDH2-2,protein-protein,0.74
ASP3,AKHSDH1,protein-protein,0.832
ASP3,AK3,protein-protein,0.846
ASP3,SDH1-2,protein-protein,0.864
ASP3,PYRB,protein-protein,0.908
ASP3,FUM1,protein-protein,0.943
ASP3,FUM2,protein-protein,0.943
ASP3,PPC1,protein-protein,0.946
ASP3,PPC3,protein-protein,0.946
ASP3,ASN3,protein-protein,0.972
ASP3,ASN1,protein-protein,0.986
PYRB,DELTA-OAT,protein-protein,0.644
PYRB,PYD3,protein-protein,0.645
PYRB,NAGK,protein-protein,0.671
PYRB,GLT1,protein-protein,0.712
PYRB,AK3,protein-protein,0.814
PYRB,GAD4,protein-protein,0.823
PYRB,AKHSDH1,protein-protein,0.852
PYRB,ASN1,protein-protein,0.93
PYRB,ASN3,protein-protein,0.932
ASN1,HACL,protein-protein,0.407
ASN1,LKR/SDH,protein-protein,0.441
ASN1,DELTA-OAT,protein-protein,0.556
ASN1,FUM1,protein-protein,0.583
ASN1,FUM2,protein-protein,0.636
ASN1,AKHSDH1,protein-protein,0.899
ASN1,ASN3,protein-protein,0.902
ASN1,GAD4,protein-protein,0.92
ASN1,GLT1,protein-protein,0.93
ASN1,AK3,protein-protein,0.947
FUM1,HACL,protein-protein,0.421
FUM1,ALDH5F1,protein-protein,0.55
FUM1,DELTA-OAT,protein-protein,0.554
FUM1,ALDH3H1,protein-protein,0.558
FUM1,ALDH3F1,protein-protein,0.558
FUM1,ALDH3I1,protein-protein,0.558
FUM1,ALDH2B4,protein-protein,0.561
FUM1,ALDH10A8,protein-protein,0.561
FUM1,ASN3,protein-protein,0.583
FUM1,ALDH7B4,protein-protein,0.622
FUM1,AGT2,protein-protein,0.653
FUM1,L2HGDH,protein-protein,0.798
FUM1,FUM2,protein-protein,0.902
FUM1,SDH2-2,protein-protein,0.988
FUM1,SDH1-2,protein-protein,0.994
ALDH3H1,L2HGDH,protein-protein,0.407
ALDH3H1,DELTA-OAT,protein-protein,0.506
ALDH3H1,HACL,protein-protein,0.579
ALDH3H1,SDH2-2,protein-protein,0.649
ALDH3H1,SDH1-2,protein-protein,0.655
ALDH3H1,FUM2,protein-protein,0.667
ALDH3H1,GAD4,protein-protein,0.734
ALDH3H1,GLT1,protein-protein,0.833
ALDH3H1,ALDH3I1,protein-protein,0.904
ALDH3H1,ALDH3F1,protein-protein,0.908
ALDH3H1,PYD3,protein-protein,0.926
ALDH3H1,PANC,protein-protein,0.927
ALDH3H1,ALDH2B4,protein-protein,0.936
ALDH3H1,ALDH7B4,protein-protein,0.939
ALDH3H1,AGT2,protein-protein,0.952
ALDH3F1,L2HGDH,protein-protein,0.407
ALDH3F1,DELTA-OAT,protein-protein,0.489
ALDH3F1,SDH2-2,protein-protein,0.528
ALDH3F1,FUM2,protein-protein,0.569
ALDH3F1,HACL,protein-protein,0.579
ALDH3F1,SDH1-2,protein-protein,0.655
ALDH3F1,GAD4,protein-protein,0.734
ALDH3F1,GLT1,protein-protein,0.833
ALDH3F1,ALDH3I1,protein-protein,0.912
ALDH3F1,PYD3,protein-protein,0.92
ALDH3F1,PANC,protein-protein,0.921
ALDH3F1,ALDH2B4,protein-protein,0.936
ALDH3F1,ALDH7B4,protein-protein,0.94
ALDH3F1,AGT2,protein-protein,0.952
PPC3,AGT2,protein-protein,0.426
PPC3,DELTA-OAT,protein-protein,0.444
PPC3,AK3,protein-protein,0.465
PPC3,GLT1,protein-protein,0.516
PPC3,L2HGDH,protein-protein,0.692
PPC3,PPC1,protein-protein,0.905
AIH,GAD4,protein-protein,0.451
AIH,NAGK,protein-protein,0.571
AIH,DELTA-OAT,protein-protein,0.701
AIH,PYD3,protein-protein,0.789
PYD3,OXP1,protein-protein,0.583
PYD3,GAD4,protein-protein,0.904
PYD3,ALDH3I1,protein-protein,0.92
PYD3,AGT2,protein-protein,0.926
PYD3,PANC,protein-protein,0.932
PYD3,ALDH7B4,protein-protein,0.946
PYD3,ALDH2B4,protein-protein,0.95
SDH2-2,L2HGDH,protein-protein,0.503
