SingleCopyOG,Name,Product,Pathway,Orthogroup
OG0001349::NA,ABCB8,Putative ABC transporter B family member 8,ABC transporters,OG0001349
OG0001739::NA,PDR3,Pleiotropic drug resistance protein 3,ABC transporters,OG0001739
OG0010128::H1,ABCC13,ABC transporter C family member 13,ABC transporters,OG0010128
OG0000851::H1,GAD,Glutamate decarboxylase,"Alanine, aspartate and glutamate metabolism",OG0000851
OG0000851::H2,GAD,Glutamate decarboxylase,"Alanine, aspartate and glutamate metabolism",OG0000851
OG0001781::H2,AGT2,Alanine--glyoxylate aminotransferase 2 homolog 1%2C mitochondrial,"Alanine, aspartate and glutamate metabolism",OG0001781
OG0001781::H1,At3g08860,Alanine--glyoxylate aminotransferase 2 homolog 3%2C mitochondrial,"Alanine, aspartate and glutamate metabolism",OG0001781
OG0001870::H1,ASN1,Asparagine synthetase [glutamine-hydrolyzing] 1,"Alanine, aspartate and glutamate metabolism",OG0001870
OG0001870::H2,ASN3,Asparagine synthetase [glutamine-hydrolyzing] 3,"Alanine, aspartate and glutamate metabolism",OG0001870
OG0004928::H1,NLP3,Omega-amidase%2C chloroplastic,"Alanine, aspartate and glutamate metabolism",OG0004928
OG0006277::H1,,Glutamate synthase [NADH]%2C amyloplastic,"Alanine, aspartate and glutamate metabolism",OG0006277
OG0006277::H2,GLT1,Glutamate synthase 1 [NADH]%2C chloroplastic,"Alanine, aspartate and glutamate metabolism",OG0006277
OG0006478::H1,GABA-TP3,Gamma aminobutyrate transaminase 3%2C chloroplastic,"Alanine, aspartate and glutamate metabolism",OG0006478
OG0008078::H1,AO-2A,L-aspartate oxidase 2-a%2C chloroplastic,"Alanine, aspartate and glutamate metabolism",OG0008078
OG0009634::H1,FIS1,Probable aldehyde dehydrogenase,"Alanine, aspartate and glutamate metabolism",OG0009634
OG0021290::NA,GLT1,Glutamate synthase 1 [NADH]%2C chloroplastic,"Alanine, aspartate and glutamate metabolism",OG0021290
